Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20181105_075053	2208	9	1214.075	-19.6789	-37.0537	-288.1605
HKDS2004_Fast_IsoWater_20181105_075053	2208	10	1214.100	-20.1201	-37.8120	-295.3575
HKDS2004_Fast_IsoWater_20181105_075053	2208	11	1214.125	-20.3709	-38.3209	-300.8126
HKDS2004_Fast_IsoWater_20181105_075053	2208	12	1214.150	-20.3933	-38.4715	-302.2464
HKDS2004_Fast_IsoWater_20181105_075053	2208	13	1214.175	-20.3870	-38.3442	-300.3336
HKDS2004_Fast_IsoWater_20181105_075053	2208	14	1214.200	-20.2572	-38.1008	-297.6742
HKDS2004_Fast_IsoWater_20181105_075053	2208	15	1214.225	-20.1627	-37.9176	-295.8025
HKDS2004_Fast_IsoWater_20181105_075053	2208	16	1214.250	-20.1763	-38.0202	-296.6367
HKDS2004_Fast_IsoWater_20181105_075053	2208	17	1214.275	-20.2392	-38.0644	-298.0450
HKDS2004_Fast_IsoWater_20181105_075053	2208	18	1214.300	-20.1905	-37.9633	-297.2152
HKDS2004_Fast_IsoWater_20181105_075053	2208	19	1214.325	-20.1495	-37.8507	-296.4115
HKDS2004_Fast_IsoWater_20181105_075053	2208	20	1214.350	-20.1049	-37.8219	-296.2881
HKDS2004_Fast_IsoWater_20181105_075053	2208	21	1214.375	-20.1154	-37.7804	-295.7773
HKDS2004_Fast_IsoWater_20181105_075053	2208	22	1214.400	-20.0898	-37.6815	-294.6422
HKDS2004_Fast_IsoWater_20181105_075053	2209	1	1214.425	-20.0816	-37.8034	-295.4924
HKDS2004_Fast_IsoWater_20181105_075053	2209	2	1214.450	-20.2616	-38.1590	-298.6970
HKDS2004_Fast_IsoWater_20181105_075053	2209	3	1214.475	-20.5045	-38.5853	-301.9217
HKDS2004_Fast_IsoWater_20181105_075053	2209	4	1214.500	-20.5506	-38.6957	-302.3348
HKDS2004_Fast_IsoWater_20181105_075053	2209	5	1214.525	-20.7085	-38.8661	-302.8888
HKDS2004_Fast_IsoWater_20181105_075053	2209	6	1214.550	-20.8841	-39.3113	-307.6792
HKDS2004_Fast_IsoWater_20181105_075053	2209	7	1214.575	-21.0967	-39.6001	-310.9907
HKDS2004_Fast_IsoWater_20181105_075053	2209	8	1214.600	-20.9798	-39.4683	-308.7004
HKDS2004_Fast_IsoWater_20181105_075053	2209	9	1214.625	-20.5686	-38.7849	-303.0733
HKDS2004_Fast_IsoWater_20181105_075053	2209	10	1214.650	-20.4192	-38.5086	-300.7179
HKDS2004_Fast_IsoWater_20181105_075053	2209	11	1214.675	-20.4097	-38.4152	-300.9096
HKDS2004_Fast_IsoWater_20181105_075053	2209	12	1214.700	-20.3292	-38.3855	-300.6931
HKDS2004_Fast_IsoWater_20181105_075053	2209	13	1214.725	-20.4195	-38.4043	-299.6254
HKDS2004_Fast_IsoWater_20181105_075053	2209	14	1214.750	-20.3826	-38.3909	-299.4438
HKDS2004_Fast_IsoWater_20181105_075053	2209	15	1214.775	-20.5190	-38.5438	-301.3110
HKDS2004_Fast_IsoWater_20181105_075053	2209	16	1214.800	-20.7780	-39.1252	-307.5424
HKDS2004_Fast_IsoWater_20181105_075053	2209	17	1214.825	-21.0152	-39.5368	-311.2470
HKDS2004_Fast_IsoWater_20181105_075053	2209	18	1214.850	-20.8036	-39.2026	-308.3538
HKDS2004_Fast_IsoWater_20181105_075053	2209	19	1214.875	-20.4236	-38.4360	-300.7710
HKDS2004_Fast_IsoWater_20181105_075053	2209	20	1214.900	-19.9224	-37.5178	-292.2839
HKDS2004_Fast_IsoWater_20181105_075053	2209	21	1214.925	-19.6207	-36.8542	-286.1985
HKDS2004_Fast_IsoWater_20181105_075053	2209	22	1214.950	-19.5209	-36.6908	-286.3073
HKDS2004_Fast_IsoWater_20181105_075053	2210	1	1214.975	-19.8380	-37.3864	-292.5078
HKDS2004_Fast_IsoWater_20181105_075053	2210	2	1215.000	-20.0601	-37.7289	-297.3078
HKDS2004_Fast_IsoWater_20181105_075053	2210	3	1215.025	-19.9931	-37.6739	-295.4918
HKDS2004_Fast_IsoWater_20181105_075053	2210	4	1215.050	-19.7496	-37.1967	-291.2602
HKDS2004_Fast_IsoWater_20181105_075053	2210	5	1215.075	-19.5727	-36.8382	-287.7235
HKDS2004_Fast_IsoWater_20181105_075053	2210	6	1215.100	-19.4363	-36.4240	-284.6929
HKDS2004_Fast_IsoWater_20181105_075053	2210	7	1215.125	-19.1526	-36.0598	-280.9609
HKDS2004_Fast_IsoWater_20181105_075053	2210	8	1215.150	-19.1110	-35.9450	-279.8249
HKDS2004_Fast_IsoWater_20181105_075053	2210	9	1215.175	-19.1523	-36.1244	-282.5578
HKDS2004_Fast_IsoWater_20181105_075053	2210	10	1215.200	-19.3314	-36.4026	-285.3149
HKDS2004_Fast_IsoWater_20181105_075053	2210	11	1215.225	-19.4527	-36.6588	-286.8937
HKDS2004_Fast_IsoWater_20181105_075053	2210	12	1215.250	-19.6378	-37.0419	-290.3315
HKDS2004_Fast_IsoWater_20181105_075053	2210	13	1215.275	-19.8782	-37.4900	-294.8054
HKDS2004_Fast_IsoWater_20181105_075053	2210	14	1215.300	-19.8962	-37.4548	-295.1187
HKDS2004_Fast_IsoWater_20181106_121722	2210	15	1215.325	-19.6878	-37.1121	-291.8983
HKDS2004_Fast_IsoWater_20181106_121722	2210	16	1215.350	-19.4648	-36.6675	-287.7340
HKDS2004_Fast_IsoWater_20181106_121722	2210	17	1215.375	-19.1564	-36.0438	-283.0919
HKDS2004_Fast_IsoWater_20181106_121722	2210	18	1215.400	-19.0407	-35.7780	-280.0319
HKDS2004_Fast_IsoWater_20181106_121722	2210	19	1215.425	-18.9308	-35.6966	-279.1822
HKDS2004_Fast_IsoWater_20181106_121722	2210	20	1215.450	-19.1793	-36.0201	-282.0503
HKDS2004_Fast_IsoWater_20181106_121722	2210	21	1215.475	-19.3209	-36.3444	-285.0436
HKDS2004_Fast_IsoWater_20181106_121722	2210	22	1215.500	-19.5261	-36.6502	-286.9145
HKDS2004_Fast_IsoWater_20181106_121722	2211	1	1215.525	-19.7396	-37.1150	-291.4658
HKDS2004_Fast_IsoWater_20181106_121722	2211	2	1215.550	-20.0824	-37.8088	-296.9093
HKDS2004_Fast_IsoWater_20181106_121722	2211	3	1215.575	-20.4080	-38.3615	-302.4608
HKDS2004_Fast_IsoWater_20181106_121722	2211	4	1215.600	-20.6072	-38.7344	-305.6016
HKDS2004_Fast_IsoWater_20181106_121722	2211	5	1215.625	-20.4077	-38.4798	-302.3979
HKDS2004_Fast_IsoWater_20181106_121722	2211	6	1215.650	-20.1087	-37.7825	-295.5223
HKDS2004_Fast_IsoWater_20181106_121722	2211	7	1215.675	-19.7765	-37.0684	-288.8046
HKDS2004_Fast_IsoWater_20181106_121722	2211	8	1215.700	-19.4356	-36.6592	-286.1297
HKDS2004_Fast_IsoWater_20181106_121722	2211	9	1215.725	-19.6214	-36.9250	-288.5815
HKDS2004_Fast_IsoWater_20181106_121722	2211	10	1215.750	-20.0636	-37.8284	-296.7555
HKDS2004_Fast_IsoWater_20181106_121722	2211	11	1215.775	-20.4915	-38.5328	-302.5158
HKDS2004_Fast_IsoWater_20181106_121722	2211	12	1215.800	-20.6821	-38.9118	-305.8586
HKDS2004_Fast_IsoWater_20181106_121722	2211	13	1215.825	-20.6405	-38.8167	-304.4541
HKDS2004_Fast_IsoWater_20181106_121722	2211	14	1215.850	-20.4413	-38.4441	-300.7621
HKDS2004_Fast_IsoWater_20181106_121722	2211	15	1215.875	-20.2628	-38.2300	-298.7091
HKDS2004_Fast_IsoWater_20181106_121722	2211	16	1215.900	-20.2787	-38.2110	-299.5013
HKDS2004_Fast_IsoWater_20181106_121722	2211	17	1215.925	-20.0849	-37.8599	-296.1889
HKDS2004_Fast_IsoWater_20181106_121722	2211	18	1215.950	-19.7136	-37.1276	-289.6825
HKDS2004_Fast_IsoWater_20181106_121722	2211	19	1215.975	-19.3270	-36.3325	-283.8091
HKDS2004_Fast_IsoWater_20181106_121722	2211	20	1216.000	-19.0230	-35.7339	-279.3941
HKDS2004_Fast_IsoWater_20181106_121722	2211	21	1216.025	-18.8953	-35.5536	-277.6693
HKDS2004_Fast_IsoWater_20181106_121722	2211	22	1216.050	-18.8498	-35.5002	-277.6509
HKDS2004_Fast_IsoWater_20181106_121722	2212	1	1216.075	-18.9728	-35.7178	-278.8718
HKDS2004_Fast_IsoWater_20181106_121722	2212	2	1216.100	-19.3915	-36.4126	-284.9142
HKDS2004_Fast_IsoWater_20181106_121722	2212	3	1216.125	-19.8082	-37.2610	-292.5071
HKDS2004_Fast_IsoWater_20181106_121722	2212	4	1216.150	-20.2650	-38.1399	-299.7885
HKDS2004_Fast_IsoWater_20181106_121722	2212	5	1216.175	-20.5560	-38.6238	-303.4151
HKDS2004_Fast_IsoWater_20181106_121722	2212	6	1216.200	-20.5926	-38.7395	-303.2746
HKDS2004_Fast_IsoWater_20181106_121722	2212	7	1216.225	-20.5020	-38.6283	-302.4612
HKDS2004_Fast_IsoWater_20181106_121722	2212	8	1216.250	-20.5598	-38.5933	-302.3983
HKDS2004_Fast_IsoWater_20181106_121722	2212	9	1216.275	-20.5681	-38.6437	-302.9489
HKDS2004_Fast_IsoWater_20181106_121722	2212	10	1216.300	-20.4413	-38.4547	-302.2810
HKDS2004_Fast_IsoWater_20181106_121722	2212	11	1216.325	-20.1049	-37.7686	-296.9036
HKDS2004_Fast_IsoWater_20181106_121722	2212	12	1216.350	-19.6732	-36.9549	-290.6577
HKDS2004_Fast_IsoWater_20181106_121722	2212	13	1216.375	-19.4782	-36.6965	-287.6339
HKDS2004_Fast_IsoWater_20181106_121722	2212	14	1216.400	-19.4343	-36.6183	-288.1029
HKDS2004_Fast_IsoWater_20181106_121722	2212	15	1216.425	-19.5811	-36.7698	-289.8389
HKDS2004_Fast_IsoWater_20181106_121722	2212	16	1216.450	-19.5938	-36.8331	-290.6132
HKDS2004_Fast_IsoWater_20181106_121722	2212	17	1216.475	-19.2984	-36.3528	-286.9952
HKDS2004_Fast_IsoWater_20181106_121722	2212	18	1216.500	-18.9645	-35.6564	-279.9264
HKDS2004_Fast_IsoWater_20181106_121722	2212	19	1216.525	-18.7831	-35.3160	-276.0840
