depth	ECM
17.005	39.691
17.015	42.852
17.025	42.754
17.035	40.557
17.045	41.583
17.055	42.299
17.065	38.262
17.075	22.491
17.085	40.541
17.095	41.924
17.105	41.436
17.115	51.12
17.125	53.985
17.135	44.838
17.145	42.364
17.155	38.685
17.165	29.278
17.175	28.497
17.185	25.665
17.195	21.107
17.205	21.905
17.215	21.205
17.225	20.391
17.235	21.124
17.245	22.702
17.255	23.663
17.265	22.93
17.275	23.174
17.285	25.046
17.295	24.948
17.305	27.569
17.315	25.176
17.325	26.836
17.335	33.379
17.345	37.774
17.355	37.627
17.365	36.862
17.375	37.627
17.385	36.553
17.395	32.338
17.405	32.403
17.415	30.059
17.425	32.012
17.435	34.698
17.445	30.58
17.455	31.878
17.465	33.176
17.475	34.474
17.485	35.772
17.495	36.504
17.505	33.282
17.515	39.825
17.525	38.588
17.535	44.366
17.545	44.61
17.555	46.172
17.565	43.21
17.575	35.04
17.585	31.3127
17.595	27.5853
17.605	23.858
17.615	20.733
17.625	12.725
17.635	13.783
17.645	13.799
17.655	20.733
17.665	35.333
17.675	21.954
17.685	33.282
17.695	41.583
17.705	51.088
17.715	55.157
17.725	49.541
17.735	52.374
17.745	50.079
17.755	49.851
17.765	52.813
17.775	52.52
17.785	47.051
17.795	37.676
17.805	38.311
17.815	35.674
17.825	29.62
17.835	28.594
17.845	25.241
17.855	5.059
17.865	7.11
17.875	31.263
17.885	34.014
17.895	39.483
17.905	46.368
17.915	45.293
17.925	40.166
17.935	37.188
17.945	43.829
17.955	43.194
