depth	MSA	Cl	Clx	Br	NO3	SO4	SO4nss	Na	NH4	K	Mg	Ca	F	pH
36.446	5	170	98.12	0		70	59.92	40	6	4	48	6	2	
36.467	1.5295	38.8997	28.1564	0	25.7491	56.1152	54.6086	5.97847	6.52461	2.30528	18.4166	3.71057	1.69206	0.655
36.492	0.79888	37.8573	19.6691	0	0.609577	38.3045	35.7539	10.1214	10.9968	15.8233	8.15719	8.39353	1.01462	-1.6
40.8	4.59203	4.78036	0.74331	0.388876	49.299	23.2992	22.7331	2.24655	8.52186	1.10713	3.22082	11.2547	1.70827	
40.82	7.21273	22.4442	4.28012	0.770371	1.58252	43.372	40.8248	10.108	9.8757	2.2478	3.60725	26.4807	1.07299	-2.62
40.84	8.20161	31.4178	2.57307	1.06849	3.64549	61.8134	57.7684	16.0516	6.64914	1.45056	6.02092	51.5646	1.84004	
40.86	4.93428	21.2898	7.50393	0.901901	20.9857	23.9672	22.034	7.6716	7.37488	2.0211	6.06918	16.5402	0	
40.88	2.47175	15.2839	5.62086	0	42.0968	23.4148	22.0597	5.37732	10.5594	1.38502	7.05888	12.2497	0.655366	
40.9	3.77546	6.50584	2.68114	0	50.7935	17.3449	16.8085	2.12838	17.1072	2.3341	5.72112	5.30064	0.839619	
40.92	1.27629	3.73816	-0.197899	0	0.370966	15.5858	15.0338	2.19035	7.09228	2.07389	4.62936	3.13227	0.88333	
40.94	1.33355	13.9164	8.02558	0	38.5337	45.1013	44.2752	3.27814	13.3325	1.42895	6.794	9.49458	0.930658	
40.96	2.12129	16.106	5.96808	0	3.15932	90.577	89.1553	5.64158	7.5855	0.958586	2.75115	42.9454	2.02227	
