iceDepth	density	weDepth	d18O
111.3	875.0000000000222	81.66	-33.5
111.46	937.4999999999723	81.8	-32.7
111.62	823.529411764701	81.95	-31.9
111.79	937.4999999999667	82.09	-32.9
111.95	875.0000000000222	82.24	-34.1
112.11	937.5000000000555	82.38	-33.7
112.27	874.9999999999445	82.53	-32.7
112.43	875.0000000000222	82.67	-32.7
112.59	937.4999999999667	82.81	-31.5
112.75	875.0000000000222	82.96	-32.4
112.91	937.5000000000555	83.1	-33.6
113.07	874.9999999999445	83.25	-32.9
113.23	875.0000000000222	83.39	-33.6
113.39	937.5000000000555	83.53	-33.1
113.55	874.9999999999334	83.68	-32.2
113.71	937.4999999999723	83.82	-33.1
113.87	875.0000000000222	83.97	-34.2
114.03	937.5000000000555	84.11	-32.9
114.19	875.0000000000222	84.26	-31.8
114.35	823.529411764701	84.4	-32.2
114.52	937.4999999998835	84.54	-34.1
114.68	875.0000000000222	84.69	-33.5
114.84	937.5000000000555	84.83	-33.2
115.0	875.0000000000222	84.98	-34.2
115.16	875.0000000000222	85.12	-35.4
115.32	937.4999999998835	85.26	-34.2
115.48	875.0000000000222	85.41	-33.0
115.64	937.5000000000555	85.55	-33.9
115.8	875.0000000000222	85.7	-33.8
115.96	937.4999999998835	85.84	-32.4
116.12	875.0000000000222	85.99	-31.6
116.28	875.0000000000222	86.13	-33.7
116.44	937.5000000000555	86.27	-34.2
116.6	874.9999999999445	86.42	-34.5
116.76	937.4999999999667	86.56	-34.6
116.92	875.0000000000222	86.71	-33.8
117.08	875.0000000000222	86.85	-32.9
117.24	937.4999999999723	86.99	-32.7
117.4	875.0000000000222	87.14	-32.8
117.56	937.5000000000555	87.28	-33.1
117.72	874.9999999999334	87.43	-34.2
117.88	937.4999999999723	87.57	-37.6
118.04	875.0000000000222	87.72	-37.1
118.2	875.0000000000222	87.86	-34.8
118.36	937.5000000000555	88.0	-35.0
118.52	874.9999999999445	88.15	-35.8
118.68	937.4999999999667	88.29	-36.1
118.84	875.0000000000222	88.44	-36.3
119.0	937.5000000000555	88.58	-35.0
119.16	875.0000000000222	88.73	-32.7
119.32	874.9999999999445	88.87	-31.6
119.48	937.4999999999667	89.01	-33.4
119.64	875.0000000000222	89.16	-33.7
119.8	937.5000000000555	89.3	-34.7
119.96	874.9999999999445	89.45	-35.4
120.12	875.0000000000222	89.59	-35.0
120.28	937.4999999999667	89.73	-34.2
120.44	875.0000000000222	89.88	-34.3
