depth	d18O
67.702	-33.92
67.742	-33.67
67.783	-33.67
67.823	-34.2
67.864	-35.23
67.904	-36.43
67.945	-36.29
67.985	-35.69
68.025	-34.47
68.066	-33.18
68.106	-32.24
68.147	-31.95
68.187	-32.21
68.228	-33.56
68.268	-33.71
68.308	-33.84
68.349	-33.86
68.389	-33.28
68.43	-33.42
68.47	-33.99
68.51	-35.32
68.551	-36.45
68.591	-37.43
68.631	-37.58
68.672	-36.99
68.712	-36.36
68.752	-36.49
68.793	-35.88
68.833	-35.84
68.873	-34.57
68.914	-33.97
68.954	-32.39
68.994	-31.62
69.034	-30.47
69.075	-31.25
69.115	-31.92
69.155	-33.52
69.195	-34.15
69.236	-34.97
69.276	-34.98
69.316	-35.02
69.356	-34.35
69.397	-34.84
69.437	-34.43
69.477	-33.82
69.517	-32.62
69.557	-31.75
69.598	-30.68
69.638	-30.41
69.678	-30.84
69.718	-31.91
69.758	-33.52
69.798	-34.24
69.839	-34.62
69.879	-34.77
69.919	-34.22
69.959	-33.93
69.999	-33.52
70.039	-33.85
70.079	-33.88
70.119	-34.34
70.159	-34.38
70.199	-33.93
70.24	-34.56
70.28	-33.84
70.32	-34.37
70.36	-35.26
70.4	-35.97
70.44	-36.04
70.48	-36.13
70.52	-35.3
70.56	-33.29
70.6	-32.63
70.64	-32.1
70.68	-32.17
70.72	-32.43
70.76	-33.4
70.8	-34.4
70.84	-34.17
70.88	-33.77
70.92	-33.67
70.96	-33.21
71	-33.32
71.04	-33.19
71.079	-33.24
71.119	-33.37
71.159	-32.97
71.199	-33.1
71.239	-32.88
71.279	-33.36
71.319	-33.95
71.359	-34.86
71.399	-35.68
71.439	-35.48
71.478	-34.57
71.518	-33.53
71.558	-33.06
71.598	-32.82
71.638	-33.63
71.678	-34.3
71.717	-34.35
71.757	-34.34
71.797	-33.65
71.837	-32.89
71.877	-32.91
71.917	-33.29
71.956	-34.45
71.996	-35
72.036	-34.84
72.076	-34.73
72.115	-34.22
72.155	-33.65
72.195	-33.21
72.235	-33.29
72.274	-33.19
72.314	-33.22
72.354	-33
72.394	-32.69
72.433	-32.92
72.473	-32.84
72.513	-33.57
72.552	-35.65
72.592	-36.17
72.632	-35.96
72.671	-34.6
72.711	-33.76
72.751	-33
72.79	-32.65
72.83	-32.9
72.87	-33.04
72.909	-32.74
72.949	-31.81
72.989	-30.78
73.028	-29.9
73.068	-29.67
73.107	-29.87
73.147	-30.71
73.187	-31.46
73.226	-32.3
73.266	-32.83
73.305	-32.93
73.345	-33.07
73.384	-32.91
73.424	-32.52
73.464	-32.44
73.503	-32.95
73.543	-33.96
73.582	-34.76
73.622	-35.32
73.661	-35.13
73.701	-34.84
73.74	-34.2
73.78	-33.89
73.819	-33.96
73.859	-34.01
73.898	-33.09
73.938	-32.69
73.977	-32.21
74.017	-32.37
74.056	-32.9
74.096	-33.73
74.135	-33.98
74.174	-33.64
74.214	-32.35
74.253	-31.16
74.293	-30.63
74.332	-30.52
74.372	-31.3
74.411	-32.77
74.45	-33.95
74.49	-34.01
74.529	-33.6
74.569	-33.04
74.608	-32.33
74.647	-32.05
74.687	-32.07
74.726	-32.44
74.765	-32.73
74.805	-33.03
74.844	-33.36
74.883	-33.5
74.923	-33.92
74.962	-34.47
75.001	-35.81
75.041	-37.05
75.08	-37.79
75.119	-38.23
75.159	-38.2
75.198	-38.16
75.237	-38.28
75.276	-37.86
75.316	-36.69
75.355	-35.66
75.394	-34.71
75.433	-33.87
75.473	-33.48
75.512	-33.32
75.551	-34.02
75.59	-34.75
75.63	-34.55
75.669	-33.54
75.708	-32.14
75.747	-31.45
75.786	-30.59
75.826	-30.23
75.865	-30.44
75.904	-31.59
75.943	-33.34
75.982	-34.03
76.022	-34.55
76.061	-34.6
